combo,case_id,region,degradation,det_iou,ocr_text,gt_text,exact_match,char_acc,det_latency_ms,ocr_latency_ms,total_latency_ms
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,low_res,0.777,EJF575,CDK575,False,0.5,26.62,3.49,30.11
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,noise,0.861,CDK575,CDK575,True,1.0,26.43,3.75,30.17
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,jpeg_compression,0.893,CDK575,CDK575,True,1.0,28.3,3.38,31.68
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,under_exposure,0.91,CDK575,CDK575,True,1.0,26.69,3.84,30.53
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,over_exposure,0.893,CDK575,CDK575,True,1.0,27.77,3.93,31.7
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,perspective,0.765,CDK575,CDK575,True,1.0,25.52,3.33,28.86
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,combined_hard,0.926,TTX6775,CDK575,False,0.167,30.3,4.43,34.74
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,clean,0.0,OSG719,0SG719,False,0.833,22.73,3.16,25.89
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,motion_blur,0.0,,0SG719,False,0.0,19.29,3.81,23.1
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,defocus_blur,0.0,,0SG719,False,0.0,27.76,3.2,30.96
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,low_res,0.0,,0SG719,False,0.0,26.98,3.17,30.15
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,noise,0.0,OSG719,0SG719,False,0.833,41.02,5.4,46.42
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,jpeg_compression,0.0,OSG719,0SG719,False,0.833,29.81,3.9,33.71
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,under_exposure,0.0,OSG719,0SG719,False,0.833,27.53,3.22,30.75
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,over_exposure,0.0,OSG719,0SG719,False,0.833,29.33,3.59,32.92
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,perspective,0.0,OSG719,0SG719,False,0.833,27.75,3.53,31.28
current (yolo-v9-t-384 + cct-xs-v2),us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,combined_hard,0.0,,0SG719,False,0.0,25.36,2.95,28.3
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,clean,0.814,4B39376,4B39376,True,1.0,18.99,2.76,21.75
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,motion_blur,0.752,WLE258,4B39376,False,0.0,23.83,3.27,27.1
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,defocus_blur,0.679,,4B39376,False,0.0,31.74,3.89,35.63
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,low_res,0.0,,4B39376,False,0.0,29.96,3.47,33.42
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,noise,0.806,4B39376,4B39376,True,1.0,27.55,3.49,31.05
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,jpeg_compression,0.857,4B39376,4B39376,True,1.0,28.56,3.46,32.02
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,under_exposure,0.904,4B39376,4B39376,True,1.0,27.15,3.56,30.71
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,over_exposure,0.823,4B39376,4B39376,True,1.0,27.09,3.47,30.56
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,perspective,0.508,4B39376,4B39376,True,1.0,27.29,3.23,30.52
current (yolo-v9-t-384 + cct-xs-v2),eu_test_072,eu,combined_hard,0.0,,4B39376,False,0.0,30.06,3.07,33.13
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,clean,0.894,RK300AS,RK300AS,True,1.0,24.92,3.87,28.79
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,motion_blur,0.835,EA1300,RK300AS,False,0.286,26.88,3.13,30.0
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,defocus_blur,0.738,,RK300AS,False,0.0,27.03,3.15,30.18
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,low_res,0.82,WWB111,RK300AS,False,0.0,27.63,3.1,30.73
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,noise,0.852,RK300AS,RK300AS,True,1.0,24.78,2.57,27.34
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,jpeg_compression,0.876,RK300AS,RK300AS,True,1.0,19.63,3.04,22.67
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,under_exposure,0.922,RK300AS,RK300AS,True,1.0,21.43,3.46,24.89
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,over_exposure,0.852,RK300AS,RK300AS,True,1.0,21.41,3.46,24.87
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,perspective,0.447,RK300AS,RK300AS,True,1.0,27.62,3.56,31.18
current (yolo-v9-t-384 + cct-xs-v2),eu_test_057,eu,combined_hard,0.851,,RK300AS,False,0.0,25.87,3.79,29.66
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,clean,0.757,RK550AO,RK550AO,True,1.0,27.76,3.65,31.41
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,motion_blur,0.925,H5,RK550AO,False,0.143,27.89,3.55,31.44
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,defocus_blur,0.868,,RK550AO,False,0.0,27.16,3.07,30.23
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,low_res,0.819,1A1111,RK550AO,False,0.0,31.96,3.81,35.77
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,noise,0.762,RK550AO,RK550AO,True,1.0,28.64,3.29,31.94
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,jpeg_compression,0.825,RK550AO,RK550AO,True,1.0,24.54,3.21,27.75
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,under_exposure,0.752,RK550AO,RK550AO,True,1.0,25.0,3.3,28.3
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,over_exposure,0.638,RK550AO,RK550AO,True,1.0,27.64,3.12,30.76
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,perspective,0.534,RK550AO,RK550AO,True,1.0,44.05,3.23,47.29
current (yolo-v9-t-384 + cct-xs-v2),eu_test_090,eu,combined_hard,0.873,RN280AD,RK550AO,False,0.429,28.47,3.67,32.14
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,clean,0.848,LM298AI,LM298AI,True,1.0,27.04,3.8,30.84
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,motion_blur,0.851,,LM298AI,False,0.0,27.78,3.06,30.84
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,defocus_blur,0.95,1,LM298AI,False,0.0,27.93,3.07,31.0
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,low_res,0.607,,LM298AI,False,0.0,27.72,3.55,31.27
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,noise,0.822,LM298AI,LM298AI,True,1.0,26.87,3.67,30.54
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,jpeg_compression,0.841,LM298AI,LM298AI,True,1.0,26.77,3.51,30.29
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,under_exposure,0.854,LM298AI,LM298AI,True,1.0,27.06,3.58,30.64
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,over_exposure,0.904,LM298AI,LM298AI,True,1.0,25.49,3.65,29.15
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,perspective,0.496,LM298AI,LM298AI,True,1.0,26.71,2.97,29.67
current (yolo-v9-t-384 + cct-xs-v2),eu_test_008,eu,combined_hard,0.882,LF2555,LM298AI,False,0.286,25.71,3.5,29.21
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,clean,0.872,RK248AH,RK248AH,True,1.0,24.66,3.22,27.88
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,motion_blur,0.754,KK50481,RK248AH,False,0.286,26.84,3.09,29.92
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,defocus_blur,0.0,,RK248AH,False,0.0,27.86,2.79,30.65
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,low_res,0.88,5EF111H,RK248AH,False,0.143,22.25,3.5,25.75
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,noise,0.9,RK248AH,RK248AH,True,1.0,27.59,3.51,31.1
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,jpeg_compression,0.872,RK248AH,RK248AH,True,1.0,27.97,3.49,31.46
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,under_exposure,0.878,RK248AH,RK248AH,True,1.0,26.29,3.5,29.78
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,over_exposure,0.843,RK248AH,RK248AH,True,1.0,27.43,3.65,31.07
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,perspective,0.346,RK248AH,RK248AH,True,1.0,25.77,3.52,29.29
current (yolo-v9-t-384 + cct-xs-v2),eu_test_010,eu,combined_hard,0.858,F5,RK248AH,False,0.0,27.61,3.54,31.15
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,clean,0.89,RK492AU,RK492AU,True,1.0,27.61,3.53,31.13
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,motion_blur,0.748,KM445BA,RK492AU,False,0.143,37.05,3.59,40.64
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,defocus_blur,0.749,,RK492AU,False,0.0,29.18,3.73,32.91
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,low_res,0.875,PNM11,RK492AU,False,0.0,30.96,4.68,35.64
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,noise,0.853,RK492AU,RK492AU,True,1.0,29.47,3.7,33.17
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,jpeg_compression,0.867,RK492AU,RK492AU,True,1.0,29.55,3.72,33.27
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,under_exposure,0.875,RK492AU,RK492AU,True,1.0,28.86,3.7,32.56
current (yolo-v9-t-384 + cct-xs-v2),eu_test_026,eu,over_exposure,0.898,RK492AU,RK492AU,True,1.0,28.33,3.64,31.97
