case_id,region,degradation,detector_rerun,det_iou_before,det_iou_after,gt_text,ocr_before,ocr_after,ocr_conf_before,ocr_conf_after,char_acc_before,char_acc_after,exact_before,exact_after,psnr_before,psnr_after,ssim_before,ssim_after
us_car3,us,motion_blur,True,0.785,0.822,1AMW240,ML3A7,IAMW240,0.528,0.966,0.143,0.857,False,False,17.97,13.48,0.43,0.255
us_car3,us,defocus_blur,True,0.766,0.851,1AMW240,,,0.806,0.8,0.0,0.0,False,False,17.1,10.62,0.217,0.196
us_car3,us,low_res,True,0.838,0.838,1AMW240,EW119,6W1191,0.603,0.632,0.143,0.0,False,False,16.39,11.21,0.371,0.092
us_car3,us,noise,True,0.852,0.837,1AMW240,1AMW240,1AMW240,0.999,1.0,1.0,1.0,True,True,24.88,11.52,0.828,0.079
us_car3,us,jpeg_compression,True,0.788,0.8,1AMW240,1AMW240,1AMW240,0.999,0.999,1.0,1.0,True,True,26.98,11.06,0.896,0.081
us_car3,us,under_exposure,True,0.852,0.824,1AMW240,1AMW240,1AMW240,0.999,1.0,1.0,1.0,True,True,11.53,11.65,0.413,0.215
us_car3,us,over_exposure,True,0.812,0.817,1AMW240,1AMW240,1AMW240,1.0,1.0,1.0,1.0,True,True,8.33,8.22,0.757,0.088
us_car3,us,perspective,False,0.56,0.56,1AMW240,1AMW240,1AMW240,1.0,0.999,1.0,1.0,True,True,12.36,11.93,0.01,0.154
us_car3,us,combined_hard,True,0.723,0.703,1AMW240,JA112AL,1AM771,0.567,0.806,0.286,0.429,False,False,17.7,12.74,0.373,0.133
us_wts-lg-000048,us,motion_blur,True,0.732,0.785,FE5R2D,,FE5220,0.998,0.69,0.0,0.667,False,False,14.15,10.82,0.368,0.207
us_wts-lg-000048,us,defocus_blur,True,0.802,0.871,FE5R2D,,WW2254,0.943,0.458,0.0,0.0,False,False,12.76,12.66,0.125,0.142
us_wts-lg-000048,us,low_res,True,0.869,0.869,FE5R2D,,,0.999,1.0,0.0,0.0,False,False,12.31,8.89,0.367,0.054
us_wts-lg-000048,us,noise,True,0.897,0.894,FE5R2D,FE5R2D,FE5R2D,0.999,0.999,1.0,1.0,True,True,25.19,8.85,0.942,0.062
us_wts-lg-000048,us,jpeg_compression,True,0.897,0.884,FE5R2D,FE5R2D,FE5R2D,0.997,0.999,1.0,1.0,True,True,27.34,9.34,0.971,0.145
us_wts-lg-000048,us,under_exposure,True,0.871,0.897,FE5R2D,FE5R2D,FE5R2D,0.999,0.999,1.0,1.0,True,True,8.44,9.83,0.393,0.189
us_wts-lg-000048,us,over_exposure,True,0.885,0.855,FE5R2D,FE5R2D,FE5R2D,1.0,1.0,1.0,1.0,True,True,9.47,7.46,0.715,0.048
us_wts-lg-000048,us,perspective,False,0.513,0.513,FE5R2D,FE5R2D,FE5R2D,0.999,0.996,1.0,1.0,True,True,8.85,9.21,-0.083,0.023
us_wts-lg-000048,us,combined_hard,True,0.703,0.623,FE5R2D,,,1.0,1.0,0.0,0.0,False,False,14.1,9.34,0.356,0.021
us_car5,us,motion_blur,True,0.754,0.845,59CADI,1551A,59CAD1,0.514,0.994,0.167,0.833,False,False,16.59,9.91,0.407,-0.097
us_car5,us,defocus_blur,True,0.759,0.793,59CADI,,1MM441,0.874,0.483,0.0,0.0,False,False,14.85,12.8,0.232,0.171
us_car5,us,low_res,True,0.84,0.84,59CADI,SFP11,,0.609,0.846,0.0,0.0,False,False,13.67,9.52,0.375,0.062
us_car5,us,noise,True,0.821,0.851,59CADI,59CADI,59CADI,0.996,0.998,1.0,1.0,True,True,25.07,11.1,0.882,0.195
us_car5,us,jpeg_compression,True,0.837,0.825,59CADI,59CADI,59CADI,0.994,0.999,1.0,1.0,True,True,24.04,12.04,0.882,0.292
us_car5,us,under_exposure,True,0.832,0.851,59CADI,59CADI,59CADI,1.0,1.0,1.0,1.0,True,True,9.59,12.21,0.406,0.239
us_car5,us,over_exposure,True,0.844,0.836,59CADI,59CADI,59CADI,1.0,1.0,1.0,1.0,True,True,8.82,7.57,0.764,0.156
us_car5,us,perspective,False,0.645,0.645,59CADI,59CADI,59CADI,1.0,1.0,1.0,1.0,True,True,9.81,12.62,0.041,0.378
us_car5,us,combined_hard,True,0.72,0.761,59CADI,,,0.998,0.998,0.0,0.0,False,False,15.92,9.91,0.34,-0.023
us_us5,us,motion_blur,True,0.878,0.909,NEILDMND,NEIDMND,NEILDMND,0.85,0.998,0.875,1.0,False,True,21.34,12.2,0.531,0.038
us_us5,us,defocus_blur,True,0.929,0.913,NEILDMND,NE40MO,NE14DMO,0.697,0.746,0.375,0.5,False,False,21.04,15.7,0.461,0.267
us_us5,us,low_res,True,0.911,0.911,NEILDMND,NEILDMND,NEILDMND,0.997,0.981,1.0,1.0,True,True,22.08,14.73,0.632,0.191
us_us5,us,noise,True,0.853,0.909,NEILDMND,NEILDMND,NEILDMND,0.986,0.999,1.0,1.0,True,True,24.8,12.69,0.65,0.256
us_us5,us,jpeg_compression,True,0.928,0.929,NEILDMND,NEILDMND,NEILDMND,1.0,1.0,1.0,1.0,True,True,30.08,13.2,0.881,0.283
us_us5,us,under_exposure,True,0.916,0.925,NEILDMND,NEILDMND,NEILDMND,0.999,1.0,1.0,1.0,True,True,9.53,13.11,0.461,0.218
us_us5,us,over_exposure,True,0.929,0.945,NEILDMND,NEILDMND,NEILDMND,1.0,1.0,1.0,1.0,True,True,8.42,10.34,0.8,0.105
us_us5,us,perspective,False,0.695,0.695,NEILDMND,NEILDMND,NEILDMND,1.0,1.0,1.0,1.0,True,True,14.37,10.81,0.14,0.072
us_us5,us,combined_hard,True,0.817,0.894,NEILDMND,NEALCMO,NEILCND,0.729,0.954,0.5,0.75,False,False,21.36,14.84,0.432,0.267
us_wts-lg-000061,us,motion_blur,True,0.839,0.935,DK2Z5S,,DX2Z5S,0.897,0.954,0.0,0.833,False,False,16.92,13.39,0.291,0.407
us_wts-lg-000061,us,defocus_blur,True,0.852,0.863,DK2Z5S,,144,0.992,0.612,0.0,0.0,False,False,15.31,14.33,0.149,0.178
us_wts-lg-000061,us,low_res,True,0.863,0.863,DK2Z5S,,,1.0,1.0,0.0,0.0,False,False,15.33,10.93,0.403,0.208
us_wts-lg-000061,us,noise,True,0.921,0.888,DK2Z5S,DK2Z5S,DK225S,0.968,0.964,1.0,0.833,True,False,25.06,12.61,0.871,0.303
us_wts-lg-000061,us,jpeg_compression,True,0.897,0.898,DK2Z5S,DK2Z5S,DK2Z5S,0.946,0.975,1.0,1.0,True,True,25.9,12.77,0.895,0.24
us_wts-lg-000061,us,under_exposure,True,0.86,0.863,DK2Z5S,DK2Z5S,DK2Z5S,0.999,0.991,1.0,1.0,True,True,9.4,11.7,0.404,0.09
us_wts-lg-000061,us,over_exposure,True,0.844,0.865,DK2Z5S,DK2Z5S,DK2Z5S,0.999,0.994,1.0,1.0,True,True,8.68,8.55,0.778,0.031
us_wts-lg-000061,us,perspective,False,0.725,0.725,DK2Z5S,DK2Z5S,DK2Z5S,0.999,0.997,1.0,1.0,True,True,13.14,12.37,0.149,0.239
us_wts-lg-000061,us,combined_hard,True,0.852,0.853,DK2Z5S,,,1.0,0.921,0.0,0.0,False,False,16.78,12.66,0.275,0.141
us_wts-lg-000137,us,motion_blur,True,0.919,0.882,CWW2245,HMTTL,CKW2245,0.493,0.959,0.0,0.857,False,False,15.55,10.89,0.344,0.196
us_wts-lg-000137,us,defocus_blur,True,0.901,0.907,CWW2245,CWW178,GWW7203,0.525,0.764,0.429,0.429,False,False,14.26,10.9,0.226,0.175
us_wts-lg-000137,us,low_res,True,0.913,0.913,CWW2245,EVL445,EVA445,0.73,0.73,0.286,0.286,False,False,13.68,9.99,0.443,0.163
us_wts-lg-000137,us,noise,True,0.878,0.878,CWW2245,CWW2245,CWW2245,1.0,1.0,1.0,1.0,True,True,25.01,10.75,0.759,0.121
us_wts-lg-000137,us,jpeg_compression,True,0.92,0.92,CWW2245,CWW2245,CWW2245,1.0,1.0,1.0,1.0,True,True,25.1,10.63,0.865,0.291
us_wts-lg-000137,us,under_exposure,True,0.919,0.919,CWW2245,CWW2245,CWW2245,1.0,1.0,1.0,1.0,True,True,10.06,11.22,0.438,0.204
us_wts-lg-000137,us,over_exposure,True,0.945,0.926,CWW2245,CWW2245,CWW2245,1.0,1.0,1.0,1.0,True,True,8.65,6.84,0.723,0.215
us_wts-lg-000137,us,perspective,False,0.658,0.658,CWW2245,CWW2245,CWW2245,1.0,1.0,1.0,1.0,True,True,9.8,12.09,0.117,0.288
us_wts-lg-000137,us,combined_hard,True,0.919,0.889,CWW2245,VWW5744,CWW2245,0.698,0.964,0.429,1.0,False,True,15.27,10.44,0.279,0.125
us_wts-lg-000179,us,motion_blur,True,0.85,0.881,SL7J8R,,SL7J8R,0.557,0.992,0.0,1.0,False,True,22.28,17.14,0.384,0.564
us_wts-lg-000179,us,defocus_blur,True,0.831,0.831,SL7J8R,,4,0.989,0.663,0.0,0.0,False,False,21.57,18.54,0.297,0.323
us_wts-lg-000179,us,low_res,True,0.851,0.851,SL7J8R,,,0.992,1.0,0.0,0.0,False,False,20.65,18.73,0.391,0.366
us_wts-lg-000179,us,noise,True,0.854,0.843,SL7J8R,SL7J8R,SL7J8R,0.999,0.991,1.0,1.0,True,True,25.07,12.47,0.734,0.139
us_wts-lg-000179,us,jpeg_compression,True,0.861,0.861,SL7J8R,SL7J8R,SL7J8R,0.999,1.0,1.0,1.0,True,True,26.85,14.53,0.793,0.343
us_wts-lg-000179,us,under_exposure,True,0.851,0.861,SL7J8R,SL7J8R,SL7J8R,0.999,1.0,1.0,1.0,True,True,15.02,17.68,0.429,0.355
us_wts-lg-000179,us,over_exposure,True,0.842,0.853,SL7J8R,SL7J8R,SL7J8R,1.0,1.0,1.0,1.0,True,True,8.13,7.93,0.678,0.083
us_wts-lg-000179,us,perspective,False,0.714,0.714,SL7J8R,SL7J8R,SL7J8R,1.0,1.0,1.0,1.0,True,True,17.68,14.31,0.107,0.362
us_wts-lg-000179,us,combined_hard,True,0.86,0.801,SL7J8R,,,0.999,1.0,0.0,0.0,False,False,21.72,13.86,0.33,0.156
us_wts-lg-000154,us,motion_blur,True,0.826,0.821,1366026,T44631,1366026,0.525,0.954,0.143,1.0,False,True,16.37,14.05,0.304,0.288
us_wts-lg-000154,us,defocus_blur,True,0.0,0.0,1366026,,44,0.0,0.524,0.0,0.0,False,False,15.77,12.74,0.19,0.223
us_wts-lg-000154,us,low_res,True,0.746,0.746,1366026,L551,,0.648,0.765,0.0,0.0,False,False,15.03,9.09,0.342,0.229
us_wts-lg-000154,us,noise,True,0.778,0.737,1366026,1366026,1366026,1.0,1.0,1.0,1.0,True,True,24.86,12.64,0.818,0.242
us_wts-lg-000154,us,jpeg_compression,True,0.845,0.844,1366026,1366026,1366026,1.0,1.0,1.0,1.0,True,True,25.31,13.05,0.855,0.328
us_wts-lg-000154,us,under_exposure,True,0.835,0.869,1366026,1366026,1366026,1.0,1.0,1.0,1.0,True,True,9.59,12.95,0.418,0.321
us_wts-lg-000154,us,over_exposure,True,0.844,0.757,1366026,1366026,1366026,1.0,1.0,1.0,1.0,True,True,8.74,8.68,0.759,0.326
us_wts-lg-000154,us,perspective,False,0.738,0.738,1366026,1366026,1366026,1.0,1.0,1.0,1.0,True,True,11.96,10.66,0.072,0.051
us_wts-lg-000154,us,combined_hard,True,0.875,0.749,1366026,S65777,EKC3788,0.489,0.67,0.143,0.0,False,False,16.28,13.48,0.277,0.21
us_wts-lg-000163,us,motion_blur,True,0.919,0.868,CDK575,TDD1775,CDK575,0.601,0.981,0.333,1.0,False,True,17.88,16.14,0.348,0.562
us_wts-lg-000163,us,defocus_blur,True,0.762,0.831,CDK575,,C,0.961,0.613,0.0,0.167,False,False,16.97,12.25,0.188,0.205
us_wts-lg-000163,us,low_res,True,0.777,0.777,CDK575,EJF575,EJT575,0.877,0.813,0.5,0.5,False,False,16.01,9.36,0.454,0.088
us_wts-lg-000163,us,noise,True,0.861,0.797,CDK575,CDK575,CDK575,1.0,1.0,1.0,1.0,True,True,24.91,12.63,0.818,0.177
us_wts-lg-000163,us,jpeg_compression,True,0.893,0.846,CDK575,CDK575,CDK575,1.0,1.0,1.0,1.0,True,True,26.86,13.18,0.894,0.414
us_wts-lg-000163,us,under_exposure,True,0.91,0.893,CDK575,CDK575,CDK575,1.0,1.0,1.0,1.0,True,True,11.76,15.96,0.417,0.495
us_wts-lg-000163,us,over_exposure,True,0.893,0.885,CDK575,CDK575,CDK575,1.0,1.0,1.0,1.0,True,True,8.24,8.31,0.749,0.204
us_wts-lg-000163,us,perspective,False,0.765,0.765,CDK575,CDK575,CDK575,1.0,1.0,1.0,1.0,True,True,12.8,11.71,-0.032,0.028
us_wts-lg-000163,us,combined_hard,True,0.926,0.79,CDK575,TTX6775,FJK775,0.656,0.787,0.167,0.5,False,False,18.37,13.03,0.409,0.138
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,motion_blur,True,0.0,0.0,0SG719,,3457977,0.991,0.53,0.0,0.0,False,False,22.98,13.64,0.389,0.097
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,defocus_blur,True,0.0,0.0,0SG719,,,0.0,1.0,0.0,0.0,False,False,22.56,20.21,0.277,0.275
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,low_res,True,0.0,0.0,0SG719,,,0.0,1.0,0.0,0.0,False,False,21.48,18.15,0.383,0.278
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,noise,True,0.0,0.577,0SG719,,OSG719,0.0,0.992,0.0,0.833,False,False,24.73,15.51,0.711,0.154
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,jpeg_compression,True,0.0,0.0,0SG719,,64EG7997,0.0,0.569,0.0,0.167,False,False,28.06,13.29,0.826,0.108
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,under_exposure,True,0.0,0.0,0SG719,,OSG719,0.0,0.999,0.0,0.833,False,False,9.43,16.62,0.436,0.338
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,over_exposure,True,0.0,0.0,0SG719,,OSG719,0.0,0.997,0.0,0.833,False,False,8.18,12.44,0.846,0.27
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,perspective,False,0.0,0.0,0SG719,,OSG719,0.0,0.999,0.0,0.833,False,False,19.38,13.81,0.134,0.024
us_12c6cb72-3ea3-49e7-b381-e0cdfc5e8960,us,combined_hard,True,0.0,0.0,0SG719,,,0.0,1.0,0.0,0.0,False,False,22.2,14.19,0.325,0.029
eu_test_072,eu,motion_blur,True,0.752,0.806,4B39376,WLE258,4B39376,0.521,0.988,0.0,1.0,False,True,18.6,15.07,0.306,0.409
eu_test_072,eu,defocus_blur,True,0.679,0.679,4B39376,,,0.995,1.0,0.0,0.0,False,False,16.94,14.44,0.154,0.08
eu_test_072,eu,low_res,True,0.0,0.0,4B39376,,,0.997,1.0,0.0,0.0,False,False,16.66,10.42,0.432,0.163
eu_test_072,eu,noise,True,0.806,0.791,4B39376,4B39376,4B393Z6,1.0,0.999,1.0,0.857,True,False,24.66,12.84,0.867,0.27
eu_test_072,eu,jpeg_compression,True,0.857,0.834,4B39376,4B39376,4B39376,1.0,1.0,1.0,1.0,True,True,26.86,12.66,0.91,0.223
eu_test_072,eu,under_exposure,True,0.904,0.858,4B39376,4B39376,4B39376,1.0,1.0,1.0,1.0,True,True,10.4,13.42,0.404,0.272
eu_test_072,eu,over_exposure,True,0.823,0.831,4B39376,4B39376,4B39376,1.0,1.0,1.0,1.0,True,True,8.32,10.41,0.782,0.156
eu_test_072,eu,perspective,False,0.508,0.508,4B39376,4B39376,4B39376,1.0,1.0,1.0,1.0,True,True,12.3,14.44,-0.035,0.499
eu_test_072,eu,combined_hard,True,0.0,0.695,4B39376,,,0.842,1.0,0.0,0.0,False,False,17.83,14.86,0.252,0.349
eu_test_057,eu,motion_blur,True,0.835,0.894,RK300AS,EA1300,RK300AS,0.439,0.986,0.286,1.0,False,True,22.25,14.91,0.406,0.167
eu_test_057,eu,defocus_blur,True,0.738,0.731,RK300AS,,1,0.989,0.718,0.0,0.0,False,False,20.99,18.85,0.291,0.318
eu_test_057,eu,low_res,True,0.82,0.82,RK300AS,WWB111,WWB1442,0.585,0.646,0.0,0.0,False,False,20.42,18.38,0.449,0.362
eu_test_057,eu,noise,True,0.852,0.869,RK300AS,RK300AS,RK300AS,1.0,1.0,1.0,1.0,True,True,24.92,13.13,0.795,0.257
eu_test_057,eu,jpeg_compression,True,0.876,0.84,RK300AS,RK300AS,RK300AS,0.998,0.994,1.0,1.0,True,True,27.35,13.76,0.856,0.138
eu_test_057,eu,under_exposure,True,0.922,0.913,RK300AS,RK300AS,RK300AS,0.999,1.0,1.0,1.0,True,True,13.42,15.01,0.418,0.224
eu_test_057,eu,over_exposure,True,0.852,0.902,RK300AS,RK300AS,RK300AS,0.999,0.999,1.0,1.0,True,True,8.13,9.72,0.732,0.16
eu_test_057,eu,perspective,False,0.447,0.447,RK300AS,RK300AS,RK300AS,0.999,0.998,1.0,1.0,True,True,15.17,15.84,0.09,0.471
eu_test_057,eu,combined_hard,True,0.851,0.779,RK300AS,,,1.0,0.999,0.0,0.0,False,False,21.56,13.43,0.364,0.145
eu_test_090,eu,motion_blur,True,0.925,0.899,RK550AO,H5,RK550AO,0.556,0.999,0.143,1.0,False,True,15.7,12.69,0.365,0.258
eu_test_090,eu,defocus_blur,True,0.868,0.835,RK550AO,,455,0.828,0.691,0.0,0.286,False,False,14.4,13.18,0.147,0.179
eu_test_090,eu,low_res,True,0.819,0.819,RK550AO,1A1111,141111,0.696,0.904,0.0,0.0,False,False,13.95,7.94,0.363,0.051
eu_test_090,eu,noise,True,0.762,0.74,RK550AO,RK550AO,RK550AO,1.0,1.0,1.0,1.0,True,True,24.83,9.69,0.906,0.041
eu_test_090,eu,jpeg_compression,True,0.825,0.735,RK550AO,RK550AO,RK550AO,1.0,1.0,1.0,1.0,True,True,24.05,9.57,0.913,0.036
eu_test_090,eu,under_exposure,True,0.752,0.762,RK550AO,RK550AO,RK550AO,1.0,1.0,1.0,1.0,True,True,9.1,10.16,0.401,0.062
eu_test_090,eu,over_exposure,True,0.638,0.703,RK550AO,RK550AO,RK550AO,1.0,1.0,1.0,1.0,True,True,9.16,7.16,0.803,0.019
eu_test_090,eu,perspective,False,0.534,0.534,RK550AO,RK550AO,RK550AO,1.0,1.0,1.0,1.0,True,True,9.96,10.46,-0.005,0.313
eu_test_090,eu,combined_hard,True,0.873,0.839,RK550AO,RN280AD,RH550A0,0.644,0.739,0.429,0.714,False,False,14.95,12.33,0.296,0.306
eu_test_008,eu,motion_blur,True,0.851,0.841,LM298AI,,LM298A1,0.549,0.998,0.0,0.857,False,False,17.74,15.4,0.441,0.483
eu_test_008,eu,defocus_blur,True,0.95,0.911,LM298AI,1,1111,0.731,0.578,0.0,0.0,False,False,16.22,14.86,0.297,0.277
eu_test_008,eu,low_res,True,0.607,0.607,LM298AI,,,1.0,1.0,0.0,0.0,False,False,15.38,11.31,0.393,0.173
eu_test_008,eu,noise,True,0.822,0.816,LM298AI,LM298AI,LM298AI,1.0,1.0,1.0,1.0,True,True,24.99,13.57,0.881,0.418
eu_test_008,eu,jpeg_compression,True,0.841,0.822,LM298AI,LM298AI,LM298AI,1.0,1.0,1.0,1.0,True,True,26.02,14.26,0.915,0.455
eu_test_008,eu,under_exposure,True,0.854,0.854,LM298AI,LM298AI,LM298AI,1.0,1.0,1.0,1.0,True,True,10.68,15.05,0.406,0.465
eu_test_008,eu,over_exposure,True,0.904,0.868,LM298AI,LM298AI,LM298AI,1.0,1.0,1.0,1.0,True,True,8.5,8.39,0.787,0.406
eu_test_008,eu,perspective,False,0.496,0.496,LM298AI,LM298AI,LM298AI,1.0,1.0,1.0,1.0,True,True,10.03,14.24,0.1,0.461
eu_test_008,eu,combined_hard,True,0.882,0.811,LM298AI,LF2555,,0.546,0.996,0.286,0.0,False,False,17.79,11.34,0.46,0.164
eu_test_010,eu,motion_blur,True,0.754,0.827,RK248AH,KK50481,RK248AH,0.559,1.0,0.286,1.0,False,True,19.28,16.52,0.432,0.633
eu_test_010,eu,defocus_blur,True,0.0,0.814,RK248AH,,1N011,0.0,0.532,0.0,0.0,False,False,17.77,15.21,0.289,0.256
eu_test_010,eu,low_res,True,0.88,0.88,RK248AH,5EF111H,5E5H1LH,0.516,0.517,0.143,0.143,False,False,17.77,15.31,0.485,0.232
eu_test_010,eu,noise,True,0.9,0.849,RK248AH,RK248AH,RK248AH,1.0,1.0,1.0,1.0,True,True,25.35,12.22,0.802,0.271
eu_test_010,eu,jpeg_compression,True,0.872,0.9,RK248AH,RK248AH,RK248AH,1.0,1.0,1.0,1.0,True,True,27.29,13.19,0.878,0.342
eu_test_010,eu,under_exposure,True,0.878,0.878,RK248AH,RK248AH,RK248AH,1.0,1.0,1.0,1.0,True,True,13.52,14.19,0.422,0.261
eu_test_010,eu,over_exposure,True,0.843,0.906,RK248AH,RK248AH,RK248AH,1.0,1.0,1.0,1.0,True,True,8.13,8.38,0.668,0.195
eu_test_010,eu,perspective,False,0.346,0.346,RK248AH,RK248AH,RK248AH,1.0,0.999,1.0,1.0,True,True,12.51,8.47,0.089,0.019
eu_test_010,eu,combined_hard,True,0.858,0.75,RK248AH,F5,MX2453,0.513,0.682,0.0,0.286,False,False,19.0,13.19,0.382,0.305
eu_test_026,eu,motion_blur,True,0.748,0.825,RK492AU,KM445BA,RK492AU,0.607,0.999,0.143,1.0,False,True,17.63,12.9,0.357,0.2
eu_test_026,eu,defocus_blur,True,0.749,0.795,RK492AU,,14,0.979,0.651,0.0,0.143,False,False,16.29,14.03,0.241,0.188
eu_test_026,eu,low_res,True,0.875,0.875,RK492AU,PNM11,PN411,0.71,0.72,0.0,0.143,False,False,15.75,13.38,0.464,0.266
eu_test_026,eu,noise,True,0.853,0.82,RK492AU,RK492AU,RK492AU,1.0,1.0,1.0,1.0,True,True,25.0,11.66,0.84,0.16
eu_test_026,eu,jpeg_compression,True,0.867,0.839,RK492AU,RK492AU,RK492AU,1.0,1.0,1.0,1.0,True,True,26.12,12.55,0.918,0.245
eu_test_026,eu,under_exposure,True,0.875,0.868,RK492AU,RK492AU,RK492AU,1.0,1.0,1.0,1.0,True,True,10.13,13.75,0.417,0.332
eu_test_026,eu,over_exposure,True,0.898,0.867,RK492AU,RK492AU,RK492AU,1.0,1.0,1.0,1.0,True,True,8.8,8.88,0.761,0.304
eu_test_026,eu,perspective,False,0.671,0.671,RK492AU,RK492AU,RK492AU,1.0,1.0,1.0,1.0,True,True,12.11,12.08,0.11,0.104
eu_test_026,eu,combined_hard,True,0.739,0.791,RK492AU,FH4930,,0.599,0.944,0.286,0.0,False,False,17.45,12.58,0.321,0.137
br_OYJ9557,br,motion_blur,True,0.944,0.965,OYJ9557,CYJ9557,OYJ9557,0.992,0.999,0.857,1.0,False,True,22.19,12.57,0.651,0.201
br_OYJ9557,br,defocus_blur,True,0.953,0.953,OYJ9557,OYJ9557,OYJ9557,0.979,0.976,1.0,1.0,True,True,19.79,15.33,0.485,0.331
